Token, Name(Lexeme), Type, Line Number, Scope, Dims(If array), ScopeINFO(Child), ScopeINFO(Parent) << Offsets
IDENTIFIER, a, int, 20, 6, 0, 0
identifier - field offunctionandfields, alpha, int, 4, -1, 0, 0
identifier - method offunctionandfields, function1, int, 9, -1, 0, 0
identifier - method offunctionandfields, function2, int, 13, -1, 0, 0
identifier - method offunctionandfields, function3, int, 16, -1, 0, 0
IDENTIFIER, i, int, 11, 4, 0, 0
IDENTIFIER, j, int, 6, 3, 0, 0
IDENTIFIER, k, int, 7, 3, 0, 4
IDENTIFIER, k, int, 14, 5, 0, 0
identifier - field offunctionandfields, l, int, 3, -1, 0, 0
identifier - method offunctionandfields, main, void, 26, -1, 0, 0
IDENTIFIER, n, int, 21, 6, 0, 4
, , , , , , 1, 0, 
, , , , , , 2, 1, 
, , , , , , 3, 2, 
, , , , , , 4, 2, 
, , , , , , 5, 2, 
, , , , , , 6, 2, 
